"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Maricopa","AZ",NA,56.9,51.9682308134683,13.9,10.49,66,67,4485414,4013,TRUE,"EmergingHotspot"
"Los Angeles","CA",NA,71.7,69.5210235083156,6.02,2.91,71,71,10039107,6037,TRUE,"ModerateBurden"
"Cook","IL",NA,72.2,70.0683749567779,7.32,4.4,62,67,5150233,17031,TRUE,"Hotspot"
"Bexar","TX",NA,69,65.5128689740245,10.05,6.41,87,84,2003554,48029,TRUE,"EmergingHotspot"
"Harris","TX",NA,63.3,60.149452638829,10.57,6.91,87,89,4713325,48201,TRUE,"Hotspot"
"New York","NY",NA,84.6,83.9987656031904,4.57,3.13,70,75,1628706,36061,TRUE,"SustainedHotspot"
"Kings","NY",NA,71.5,70.436183814222,6.27,4.42,70,75,2559903,36047,TRUE,"Hotspot"
"DeKalb","GA",NA,56,52.3461509019006,12.16,7.45,74,74,759297,13089,TRUE,"EmergingHotspot"
"Cobb","GA",NA,58,54.0856346377078,11.95,7.32,74,87,760141,13067,TRUE,"EmergingHotspot"
"Fulton","GA",NA,56.1,52.5887143463279,10.85,6.6,74,74,1063937,13121,TRUE,"EmergingHotspot"
"Miami-Dade","FL",NA,84.3,82.1473235181184,11.25,7.19,73,70,2716940,12086,TRUE,"ModerateBurden"
"San Diego","CA",NA,70.2,67.6761967841694,6.17,3.01,71,71,3338330,6073,TRUE,"ModerateBurdenResolving"
"Middlesex","MA",NA,78.9,76.8101342030113,4.02,2.94,76,77,1611699,25017,TRUE,"Hotspot"
"King","WA",NA,80.7,78.7242602415645,5.56,4.05,78,73,2252782,53033,TRUE,"ModerateBurdenResolving"
"Queens","NY",NA,85.7,85.3429515274726,5.1,3.6,70,75,2253858,36081,TRUE,"Hotspot"
"Onondaga","NY",NA,73.2,69.0765644018706,6.55,4.53,70,82,460528,36067,TRUE,"SustainedHotspot"
"Fort Bend","TX",NA,71.3,68.0644759518091,7.95,5.24,87,89,811688,48157,TRUE,"EmergingHotspot"
"Nassau","NY",NA,80.9,77.7487597689174,4.77,3.43,70,61,1356924,36059,TRUE,"Hotspot"
"Santa Clara","CA",NA,85.8,84.3081811230323,4.13,2.06,71,78,1927852,6085,TRUE,"ModerateBurden"
"Hidalgo","TX",NA,72.7,70.6608232633004,10.74,6.95,87,87,868707,48215,TRUE,"SustainedHotspot"
"Collin","TX",NA,67,64.1524045616057,8.3,5.42,87,89,1034730,48085,TRUE,"SustainedHotspot"
"Broward","FL",NA,70.9,66.7613319225745,12.15,7.91,73,70,1952778,12011,TRUE,"ModerateBurden"
"Fresno","CA",NA,60.8,56.944811158918,7.06,3.45,71,81,999101,6019,TRUE,"ModerateBurdenResolving"
"Suffolk","MA",NA,72.9,71.4095418751564,4.42,3.17,76,77,803907,25025,TRUE,"Hotspot"
"Gwinnett","GA",NA,54.9,51.1419581453946,11.78,7.24,74,74,936250,13135,TRUE,"EmergingHotspot"
"Wayne","MI",NA,54,48.883178846122,9.88,6.02,73,71,1749343,26163,TRUE,"ModerateBurden"
"Bergen","NJ",NA,77,74.4802335581615,3.86,2.63,41,37,932202,34003,TRUE,"SustainedHotspot"
"Fairfield","CT",NA,80.9,78.3118334537853,4.99,2.78,64,45,943332,9001,TRUE,"Hotspot"
"Westchester","NY",NA,80.1,77.936085586341,5.03,3.57,70,59,967506,36119,TRUE,"Hotspot"
"Alameda","CA",NA,81.7,79.7830415228236,4.79,2.37,71,67,1671329,6001,TRUE,"EmergingHotspot"
"Suffolk","NY",NA,75.3,71.3156976268163,5.53,3.94,70,61,1476601,36103,TRUE,"Hotspot"
"Cumberland","NC",NA,60.3,56.657846786056,14.61,11.12,78,85,335509,37051,TRUE,"SustainedHotspot"
"Dallas","TX",NA,60.1,56.9648071295781,10.78,7.04,87,89,2635516,48113,TRUE,"ModerateBurden"
"Providence","RI",NA,70.2,65.9137332445545,7.24,5.35,84,86,638931,44007,TRUE,"ModerateBurden"
"Travis","TX",NA,69.4,67.3161903677771,9.16,5.88,87,94,1273954,48453,TRUE,"EmergingHotspot"
"San Francisco","CA",NA,83.2,81.9355400380971,3.88,1.92,71,67,881549,6075,TRUE,"EmergingHotspot"
"Macomb","MI",NA,56.7,50.7723014115851,9.14,5.59,73,71,873972,26099,TRUE,"ModerateBurden"
"Clark","NV",NA,57.2,53.2170890723793,11.83,6.24,75,77,2266715,32003,TRUE,"Hotspot"
"Orange","CA",NA,71.4,68.1322901452617,5.37,2.64,71,71,3175692,6059,TRUE,"ModerateBurden"
"Honolulu","HI",NA,77.8,74.6127619672959,5.07,2.75,60,59,974563,15003,FALSE,"EmergingHotspot"
"Palm Beach","FL",NA,65.8,58.8971054104031,11.38,7.46,73,66,1496770,12099,TRUE,"ModerateBurden"
"Norfolk","MA",NA,78.5,76.3989184900104,3.8,2.81,76,77,706775,25021,TRUE,"Hotspot"
"San Bernardino","CA",NA,57.5,53.9870922397528,7.4,3.61,71,66,2180085,6071,TRUE,"ModerateBurden"
"Orange","FL",NA,69,65.4684477192638,12.38,7.97,73,75,1393452,12095,TRUE,"ModerateBurden"
"Bronx","NY",NA,74.3,72.570897450091,6.76,4.65,70,75,1418207,36005,TRUE,"Hotspot"
"Middlesex","NJ",NA,73.2,71.0232720603882,4.1,2.79,41,46,825062,34023,TRUE,"Hotspot"
"Fairfax","VA",NA,76.1,74.4978298389418,3.71,2.56,65,69,1147532,51059,TRUE,"EmergingHotspot"
"Hennepin","MN",NA,73.8,70.5015911329652,6.19,3.3,69,76,1265843,27053,TRUE,"EmergingHotspot"
"DuPage","IL",NA,76.9,73.4093445469687,6.3,3.81,62,67,922921,17043,TRUE,"Hotspot"
"Monroe","NY",NA,72.1,67.7278221488826,6.36,4.38,70,74,741770,36055,TRUE,"Hotspot"
"Sacramento","CA",NA,67.3,63.4172495474477,6.87,3.37,71,85,1552058,6067,TRUE,"ModerateBurden"
"Wayne","NC",NA,48.3,43.3194435204351,14.29,10.93,78,81,123131,37191,TRUE,"SustainedHotspot"
"Erie","NY",NA,69.6,65.4955509098616,6.44,4.45,70,74,918702,36029,TRUE,"Hotspot"
"Pinal","AZ",NA,53.5,47.5247087848299,16.35,12.58,66,67,462789,4021,TRUE,"EmergingHotspot"
"Wake","NC",NA,72.3,69.1426524317128,10.18,7.69,78,86,1111761,37183,TRUE,"ModerateBurdenResolving"
"Oakland","MI",NA,66.1,61.4312746294181,7.19,4.36,73,71,1257584,26125,TRUE,"ModerateBurden"
"Contra Costa","CA",NA,81.4,78.6969808659577,5.43,2.7,71,67,1153526,6013,TRUE,"ModerateBurden"
"Essex","NJ",NA,71.9,69.9102302642261,5.35,3.61,41,46,798975,34013,TRUE,"Hotspot"
"Pima","AZ",NA,68.4,61.9016102277139,13.71,10.32,66,61,1047279,4019,TRUE,"ModerateBurdenResolving"
"New Haven","CT",NA,77,73.5297846186278,5.79,3.18,64,61,854757,9009,TRUE,"ModerateBurden"
"Cameron","TX",NA,78.7,76.303552518749,10.5,6.83,87,89,423163,48061,TRUE,"SustainedHotspot"
"Philadelphia","PA",NA,68.8,65.1975485166006,10.96,7.09,76,75,1584064,42101,TRUE,"Hotspot"
"Essex","MA",NA,73.4,70.1563952014254,4.5,3.3,76,80,789034,25009,TRUE,"Hotspot"
"Dane","WI",NA,82.5,80.1697261880577,12.19,6.99,67,80,546695,55025,TRUE,"EmergingHotspot"
"Houston","AL",NA,43,36.0130626356232,17.68,13.44,79,78,105882,1069,TRUE,"Hotspot"
"Hartford","CT",NA,75.4,71.2470095351473,5.31,2.9,64,76,891720,9003,TRUE,"Hotspot"
"Hudson","NJ",NA,77.3,76.7854634190654,4.66,3.07,41,37,672391,34017,TRUE,"Hotspot"
"Worcester","MA",NA,69.4,66.0734634171666,4.9,3.56,76,91,830622,25027,TRUE,"ModerateBurden"
"Monmouth","NJ",NA,67.8,64.1108390624987,4.4,3,41,33,618795,34025,TRUE,"Hotspot"
"Tulsa","OK",NA,61.2,55.7620268187895,16.69,11.39,76,81,651552,40143,TRUE,"ModerateBurden"
"Snohomish","WA",NA,70.5,67.1345413420426,7.06,5.15,78,73,822083,53061,TRUE,"ModerateBurdenResolving"
"Orange","NY",NA,64.5,60.6600142946214,6.67,4.71,70,47,384940,36071,TRUE,"Hotspot"
"Montgomery","MD",NA,86.5,84.7907430435951,5.26,2.76,66,64,1050688,24031,TRUE,"EmergingHotspot"
"Hillsborough","FL",NA,62.4,57.7802532913099,12.89,8.33,73,73,1471968,12057,TRUE,"ModerateBurden"
"Morris","NJ",NA,77.2,74.2997645885151,3.97,2.71,41,49,491845,34027,TRUE,"Hotspot"
"Riverside","CA",NA,58.6,54.2791786357778,6.9,3.35,71,66,2470546,6065,TRUE,"ModerateBurden"
"St. Louis","MO",NA,63.5,58.0707432420758,10.67,6.16,72,77,994205,29189,TRUE,"EmergingHotspot"
"Multnomah","OR",NA,78.8,76.0601269227038,9.25,6.77,72,77,812855,41051,TRUE,"ModerateBurden"
"Union","NJ",NA,70.9,69.6760409176676,5.04,3.4,41,46,556341,34039,TRUE,"EmergingHotspot"
"Anchorage Municipality","AK",NA,67,63.5519994924609,16.48,11.89,77,86,288000,2020,TRUE,"ModerateBurden"
"Franklin","OH",NA,64.1,60.3685038363079,12.67,7.41,67,86,1316756,39049,TRUE,"ModerateBurden"
"Washtenaw","MI",NA,70.8,66.6345619733401,7.08,4.32,73,71,367601,26161,TRUE,"EmergingHotspot"
"Ocean","NJ",NA,54.1,46.4274607691833,5.48,3.72,41,33,607186,34029,TRUE,"ModerateBurden"
"San Mateo","CA",NA,83.4,81.5206060528042,4.28,2.15,71,67,766573,6081,TRUE,"ModerateBurden"
"Lake","IL",NA,77.7,75.4366341742012,7.12,4.33,62,67,696535,17097,TRUE,"ModerateBurden"
"Oklahoma","OK",NA,64.4,59.9691815874406,16.79,11.37,76,77,797434,40109,TRUE,"ModerateBurden"
"Tompkins","NY",NA,79.1,76.2384686346864,5.6,3.93,70,76,102180,36109,TRUE,"SustainedHotspot"
"Midland","TX",NA,42.9,39.1812180112847,10.34,6.7,87,81,176832,48329,TRUE,"SustainedHotspot"
"Richmond","NY",NA,73.7,70.658213966378,5.67,4.01,70,75,476143,36085,TRUE,"EmergingHotspot"
"Albemarle","VA",NA,64.5,60.6762559237572,5.5,3.78,65,62,109330,51003,TRUE,"EmergingHotspot"
"Jackson","MO",NA,56.7,51.7998433940943,12.94,7.51,72,74,703011,29095,TRUE,"EmergingHotspot"
"Butler","OH",NA,56.6,51.4652379644683,13.36,8.01,67,73,383134,39017,TRUE,"ModerateBurdenResolving"
"Milwaukee","WI",NA,64,59.7422173273928,15.05,8.8,67,73,945726,55079,TRUE,"ModerateBurden"
"Monterey","CA",NA,72,69.6663401170917,6.77,3.33,71,78,434061,6053,TRUE,"ModerateBurden"
"Clayton","GA",NA,43.3,39.184626331574,15.41,9.65,74,74,292256,13063,TRUE,"EmergingHotspot"
"Mecklenburg","NC",NA,62.5,59.0782804395679,11.09,8.32,78,81,1110356,37119,TRUE,"ModerateBurden"
"Montgomery","PA",NA,75.8,71.7679543569224,8.56,5.61,76,75,830915,42091,TRUE,"ModerateBurden"
"Montgomery","TX",NA,54.4,50.0862692584817,10.86,7.25,87,89,607391,48339,TRUE,"Hotspot"
"Cuyahoga","OH",NA,64.6,59.3548870698779,12.19,7.13,67,75,1235072,39035,TRUE,"ModerateBurden"
"Will","IL",NA,67.6,64.1020694119239,7.84,4.77,62,56,690743,17197,TRUE,"ModerateBurden"
"Oswego","NY",NA,59.2,53.7767096511173,7.98,5.6,70,82,117124,36075,TRUE,"SustainedHotspot"
"Passaic","NJ",NA,69.8,67.1918056001222,5.33,3.59,41,37,501826,34031,TRUE,"ModerateBurdenResolving"
"Allegheny","PA",NA,69.2,65.104006811603,9.34,5.99,76,77,1216045,42003,TRUE,"ModerateBurden"
"Spokane","WA",NA,61,55.1154684806733,8.37,6.03,78,74,522798,53063,TRUE,"ModerateBurdenResolving"
"Johnson","TX",NA,45.9,40.5612049019103,13.46,9.07,87,89,175817,48251,TRUE,"EmergingHotspot"
"Chesterfield","VA",NA,56.5,51.7058760927825,5.43,3.67,65,75,352802,51041,TRUE,"ModerateBurden"
"Hillsborough","NH",NA,62.8,58.5314191477917,10.12,6.62,72,75,417025,33011,TRUE,"EmergingHotspot"
"District of Columbia",NA,NA,69,66.2016708460924,6.55,4.03,76,64,705749,11001,TRUE,"Hotspot"
"Davidson","TN",NA,64.8,61.2860685166391,10.84,6.55,64,64,694144,47037,TRUE,"ModerateBurden"
"Salt Lake","UT",NA,69.8,66.7330347558017,10.23,6.23,72,73,1160437,49035,TRUE,"ModerateBurdenResolving"
"Pierce","WA",NA,65.2,61.0472587571039,7.87,5.73,78,90,904980,53053,TRUE,"ModerateBurdenResolving"
"Bristol","MA",NA,65.2,61.4007306938765,5.72,4.17,76,72,565217,25005,TRUE,"ModerateBurden"
"Mercer","NJ",NA,70.6,68.3906397313465,4.81,3.27,41,66,367430,34021,TRUE,"EmergingHotspot"
"Hampden","MA",NA,65.2,60.9375463563971,5.2,3.73,76,49,466372,25013,TRUE,"ModerateBurden"
"Denton","TX",NA,61.3,57.9633001143453,9.49,6.17,87,81,887207,48121,TRUE,"ModerateBurdenResolving"
"Wichita","TX",NA,52.5,45.7014766237621,12.96,8.55,87,94,132230,48485,TRUE,"SustainedHotspot"
"Oneida","NY",NA,62.6,56.9850226878827,7.4,5.2,70,82,228671,36065,TRUE,"Hotspot"
"Dale","AL",NA,47.6,42.1181259782678,17.68,13.44,79,78,49172,1045,TRUE,"Hotspot"
"Jefferson","TX",NA,50.9,46.0751742197313,12.31,8.27,87,76,251565,48245,TRUE,"SustainedHotspot"
"Ventura","CA",NA,71.7,67.8113321187692,6.12,2.98,71,76,846006,6111,TRUE,"ModerateBurden"
"Champaign","IL",NA,64.9,61.407568858927,7.67,4.67,62,51,209689,17019,TRUE,"EmergingHotspot"
"Lee","FL",NA,61.5,50.4848669895508,12.09,7.95,73,71,770577,12071,TRUE,"ModerateBurden"
"New Castle","DE",NA,68.3,63.8871959693026,5.64,3.29,78,77,558753,10003,TRUE,"ModerateBurden"
"McLennan","TX",NA,51.5,46.4853386557646,11.28,7.42,87,83,256623,48309,TRUE,"HighBurdenResolving"
"Williamson","TX",NA,68.2,64.4272523963059,9.46,6.1,87,94,590551,48491,TRUE,"ModerateBurden"
"Denver","CO",NA,75.5,74.0015383398953,6.58,3.82,58,66,727211,8031,TRUE,"ModerateBurdenResolving"
"Pinellas","FL",NA,64.2,57.1531920702996,12.39,8.12,73,73,974996,12103,TRUE,"ModerateBurden"
"Baltimore city","MD",NA,64.6,61.800305772321,8,4.15,66,77,593490,24510,TRUE,"ModerateBurden"
"Kane","IL",NA,66.9,63.5729981231276,7.47,4.49,62,51,532403,17089,TRUE,"ModerateBurden"
"Arlington","VA",NA,71.1,70.3222489484474,3.59,2.39,65,69,236842,51013,TRUE,"Hotspot"
"Tulare","CA",NA,53.7,50.090928766715,7.96,3.89,71,62,466195,6107,TRUE,"ModerateBurden"
"Chittenden","VT",NA,73.6,70.5402395636817,3.87,2.08,75,86,163774,50007,TRUE,"SustainedHotspot"
"New Hanover","NC",NA,62.6,56.7189961375127,12.07,9.15,78,65,234473,37129,TRUE,"SustainedHotspot"
"Ramsey","MN",NA,71.4,67.6202410439486,6.74,3.6,69,79,550321,27123,TRUE,"ModerateBurden"
"Rockingham","NH",NA,66.5,61.3415927961756,9.23,6.1,72,80,309769,33015,TRUE,"EmergingHotspot"
"Chattahoochee","GA",NA,95,271.641398213998,14.96,9.27,74,77,10907,13053,TRUE,"SustainedHotspot"
"Rockland","NY",NA,63.6,59.3025814667943,6.9,4.98,70,37,325789,36087,TRUE,"EmergingHotspot"
"Nueces","TX",NA,57.2,53.3085981607962,10.11,6.46,87,91,362294,48355,TRUE,"ModerateBurdenResolving"
"Somerset","NJ",NA,75.7,73.5522779678028,3.72,2.54,41,46,328934,34035,TRUE,"EmergingHotspot"
"Durham","NC",NA,70.2,66.8932353202766,11.38,8.61,78,88,321488,37063,TRUE,"ModerateBurden"
"Plymouth","MA",NA,69.5,65.5950017949429,4.89,3.61,76,77,521202,25023,TRUE,"ModerateBurden"
"Burlington","NJ",NA,74.1,70.451447729037,5.05,3.44,41,39,445349,34005,TRUE,"ModerateBurden"
"Ada","ID",NA,64,58.5348544065134,17.71,11.4,66,75,481587,16001,TRUE,"ModerateBurdenResolving"
"San Joaquin","CA",NA,58.4,54.3913457981779,7.12,3.54,71,84,762148,6077,TRUE,"ModerateBurden"
"Osceola","FL",NA,72.4,68.7627256734915,12.24,7.75,73,79,375751,12097,TRUE,"ModerateBurden"
"Guilford","NC",NA,61,55.8503624766793,12.02,9.2,78,69,537174,37081,TRUE,"ModerateBurden"
"Duval","FL",NA,60.7,55.3440188885904,14.18,9.32,73,77,957755,12031,TRUE,"ModerateBurden"
"Kent","MI",NA,61.1,56.7529157071813,9.06,5.42,73,80,656955,26081,TRUE,"ModerateBurden"
"Bernalillo","NM",NA,69.6,65.4660934562837,6.77,3.55,83,90,679121,35001,TRUE,"ModerateBurden"
"Camden","NJ",NA,68.5,65.6511835980729,5.38,3.59,41,39,506471,34007,TRUE,"ModerateBurden"
"Douglas","NE",NA,66.3,62.3640499387375,8.11,4.93,72,80,571327,31055,TRUE,"ModerateBurden"
"Loudoun","VA",NA,72.4,70.6771273643087,3.71,2.58,65,69,413538,51107,TRUE,"Hotspot"
"Albany","NY",NA,74.3,70.332293977259,5.84,4.09,70,67,305506,36001,TRUE,"ModerateBurden"
"Washington","RI",NA,77.7,72.4731140546903,6.28,4.74,84,86,125577,44009,TRUE,"ModerateBurden"
"Kent","RI",NA,78.1,73.7139632823115,7.13,5.29,84,86,164292,44003,TRUE,"ModerateBurden"
"Baltimore","MD",NA,71.2,66.9870073062102,6.72,3.52,66,77,827370,24005,TRUE,"ModerateBurden"
"Prince George's","MD",NA,73.9,70.9364051350687,6.76,3.53,66,64,909327,24033,TRUE,"ModerateBurden"
"Sarasota","FL",NA,69.3,56.4761741652683,11.29,7.45,73,73,433742,12115,TRUE,"ModerateBurden"
"Polk","FL",NA,56.8,49.6690724866847,14.34,9.47,73,73,724777,12105,TRUE,"ModerateBurden"
"Cumberland","ME",NA,87.2,85.2772146479741,7.91,6.45,65,75,295003,23005,TRUE,"ModerateBurden"
"Olmsted","MN",NA,76.7,73.6888712143815,5.96,3.17,69,63,158293,27109,TRUE,"SustainedHotspot"
"Comal","TX",NA,61.8,54.8140719616087,9.37,6.19,87,48,156209,48091,TRUE,"SustainedHotspot"
"Hamilton","OH",NA,62.6,57.3807015556237,11.81,6.94,67,73,817473,39061,TRUE,"ModerateBurden"
"Chester","PA",NA,77.1,73.2832494357606,8.5,5.61,76,75,524989,42029,TRUE,"ModerateBurden"
"Delaware","PA",NA,73.8,69.4032316596,9.93,6.5,76,75,566747,42045,TRUE,"ModerateBurden"
"Jefferson","CO",NA,77.2,73.3868940255042,6.48,3.86,58,66,582881,8059,TRUE,"ModerateBurdenResolving"
"Prince William","VA",NA,72.3,70.2352094559099,5.06,3.45,65,61,470335,51153,TRUE,"ModerateBurden"
"Marin","CA",NA,88.3,86.8977481102274,4.96,2.5,71,64,258826,6041,TRUE,"ModerateBurden"
"Brevard","FL",NA,64.3,56.6273842967009,12.7,8.33,73,67,601942,12009,TRUE,"ModerateBurden"
"Coffee","AL",NA,47,40.3622633505023,17.58,13.43,79,78,52342,1031,TRUE,"Hotspot"
"Anne Arundel","MD",NA,76.8,73.5574310510164,6.74,3.58,66,77,579234,24003,TRUE,"ModerateBurden"
"Hampshire","MA",NA,66.2,60.782149316691,4.65,3.39,76,49,160830,25015,TRUE,"EmergingHotspot"
"Solano","CA",NA,67.4,63.8325813940553,6.28,3.12,71,64,447643,6095,TRUE,"ModerateBurden"
"Strafford","NH",NA,62.5,56.7675062468663,10.58,6.92,72,63,130633,33017,TRUE,"EmergingHotspot"
"El Paso","TX",NA,80.5,78.298227314395,9.65,6.08,87,96,839238,48141,TRUE,"ModerateBurden"
"Larimer","CO",NA,67.7,62.6670742129675,6.84,4.07,58,56,356899,8069,TRUE,"ModerateBurden"
"Cayuga","NY",NA,59,53.9451577354016,7.76,5.46,70,82,76576,36011,TRUE,"Hotspot"
"Volusia","FL",NA,59.3,49.5336170563723,13.34,8.73,73,75,553284,12127,TRUE,"ModerateBurden"
"Genesee","MI",NA,50.5,43.5495416792245,10.73,6.58,73,90,405813,26049,TRUE,"ModerateBurden"
"Kennebec","ME",NA,71.4,65.8050291860379,9.75,8.1,65,60,122302,23011,TRUE,"SustainedHotspot"
"York","ME",NA,78.7,74.2393735186823,8.27,6.76,65,63,207641,23031,TRUE,"ModerateBurden"
"Cherokee","GA",NA,49.4,43.1966370541242,13.69,8.52,74,87,258773,13057,TRUE,"ModerateBurden"
"Saratoga","NY",NA,78.9,75.2893990201442,5.92,4.13,70,68,229863,36091,TRUE,"ModerateBurden"
"Dakota","MN",NA,69.3,65.6651399110024,6.61,3.52,69,79,429021,27037,TRUE,"ModerateBurden"
"Boulder","CO",NA,78.2,75.1776497483327,5.76,3.46,58,50,326196,8013,TRUE,"ModerateBurdenResolving"
"New London","CT",NA,78.8,74.9603109634173,6.22,3.4,64,86,265206,9011,TRUE,"ModerateBurden"
"Bucks","PA",NA,71.6,67.0135413579541,8.91,5.85,76,75,628270,42017,TRUE,"ModerateBurden"
"Henrico","VA",NA,54.8,50.5431283952494,5.16,3.46,65,75,330818,51087,TRUE,"ModerateBurden"
"Seminole","FL",NA,61.8,57.7708538201647,11.46,7.36,73,75,471826,12117,TRUE,"ModerateBurden"
"Lake","FL",NA,65.5,54.214255119228,12.9,8.61,73,75,367118,12069,TRUE,"ModerateBurden"
"Fayette","GA",NA,61.8,55.1935526644402,11.36,7.02,74,74,114421,13113,TRUE,"EmergingHotspot"
"El Paso","CO",NA,64.1,60.0083655137574,7.84,4.65,58,54,720403,8041,TRUE,"ModerateBurden"
"Chatham","GA",NA,55.9,50.5986702307276,14.51,8.98,74,77,289430,13051,TRUE,"ModerateBurdenResolving"
"Arapahoe","CO",NA,67.9,64.5730613343574,6.81,4.08,58,66,656590,8005,TRUE,"ModerateBurdenResolving"
"Broome","NY",NA,63.4,57.696416109259,7.17,5,70,80,190488,36007,TRUE,"ModerateBurden"
"Henry","GA",NA,44.1,39.43175719401,13.68,8.46,74,74,234561,13151,TRUE,"ModerateBurden"
"Sussex","DE",NA,67.3,56.1099288931438,5.55,3.28,78,55,234225,10005,TRUE,"ModerateBurden"
"Barbour","AL",NA,45.1,38.5440448095149,16.76,12.74,79,78,24686,1005,TRUE,"Hotspot"
"Lane","OR",NA,67.2,61.2886563255632,10.66,7.95,72,68,382067,41039,TRUE,"ModerateBurden"
"Collier","FL",NA,69.4,57.877297694077,10.71,7.06,73,71,384902,12021,TRUE,"ModerateBurden"
"Geneva","AL",NA,40.2,31.5475862230992,17.68,13.44,79,78,26271,1061,TRUE,"Hotspot"
"St. Lawrence","NY",NA,60.8,55.3453153039784,8.64,6.26,70,44,107740,36089,TRUE,"SustainedHotspot"
"Berkshire","MA",NA,58,54.9083502720361,5,3.59,76,66,124944,25003,TRUE,"EmergingHotspot"
"Ulster","NY",NA,72.3,68.3927840728261,6.74,4.74,70,59,177573,36111,TRUE,"Hotspot"
"Clackamas","OR",NA,68.5,64.5919535775015,9.77,7.38,72,77,418187,41005,TRUE,"ModerateBurden"
"Johnson","KS",NA,74.6,70.6968567661157,11.67,7,66,60,602401,20091,TRUE,"ModerateBurden"
"McHenry","IL",NA,66.8,62.6280412423736,7.9,4.81,62,67,307774,17111,TRUE,"ModerateBurden"
"Lancaster","NE",NA,66.5,61.7040636005562,7.78,4.78,72,72,319090,31109,TRUE,"ModerateBurden"
"Schenectady","NY",NA,72.6,68.085534552829,6.86,4.74,70,68,155299,36093,TRUE,"EmergingHotspot"
"Sonoma","CA",NA,77.6,74.1692732829878,6.11,3.01,71,64,494336,6097,TRUE,"ModerateBurden"
"Brown","TX",NA,41.6,34.5395458059751,12.78,8.6,87,83,37864,48049,TRUE,"SustainedHotspot"
"Dutchess","NY",NA,69.7,65.4138311391832,6.33,4.48,70,59,294218,36027,TRUE,"ModerateBurden"
"Penobscot","ME",NA,70.8,65.458670876035,9.64,7.84,65,78,152148,23019,TRUE,"HighBurdenResolving"
"Prince George","VA",NA,50.4,48.6224278674528,6.82,4.69,65,61,38353,51149,TRUE,"EmergingHotspot"
"Washoe","NV",NA,64,59.1371354550418,11.07,5.82,75,71,471519,32031,TRUE,"ModerateBurden"
"Pasco","FL",NA,58.5,50.6519534361035,13.79,9.1,73,73,553947,12101,TRUE,"ModerateBurden"
"Madison","NY",NA,60.9,56.2242399666514,7.52,5.28,70,82,70941,36053,TRUE,"Hotspot"
"Waukesha","WI",NA,69.7,63.7453792786083,11.98,7.1,67,73,404198,55133,TRUE,"ModerateBurden"
"Pettis","MO",NA,42.5,36.6205130284491,15.12,9.03,72,45,42339,29159,TRUE,"Hotspot"
"Ingham","MI",NA,57,51.6725134876652,8.79,5.29,73,86,292406,26065,TRUE,"ModerateBurden"
"Washington","VT",NA,46.8,43.9227275750986,4.17,2.24,75,70,58409,50023,TRUE,"HighBurdenResolving"
"Charleston","SC",NA,65.3,60.5901142508799,12.51,6.87,65,71,411406,45019,TRUE,"ModerateBurden"
"San Luis Obispo","CA",NA,60.3,55.0379139875477,6.74,3.36,71,56,283111,6079,TRUE,"ModerateBurden"
"Thurston","WA",NA,68.9,63.6617273521172,7.55,5.45,78,81,290536,53067,TRUE,"ModerateBurden"
"Taylor","TX",NA,50.8,45.1751174093877,11.78,7.76,87,95,138034,48441,TRUE,"EmergingHotspot"
"Harnett","NC",NA,41.9,36.8560341760084,14.89,11.29,78,85,135976,37085,TRUE,"ModerateBurdenResolving"
"Galveston","TX",NA,59.9,55.217451696815,10.49,6.89,87,93,342139,48167,TRUE,"ModerateBurden"
"St. Louis","MN",NA,66.4,60.2419188395278,7.36,3.91,69,67,199070,27137,TRUE,"ModerateBurdenResolving"
"St. Louis city","MO",NA,58.3,56.1721332411111,12.09,6.97,72,77,300576,29510,TRUE,"ModerateBurden"
"Campbell","VA",NA,39.9,32.8329523102441,6.68,4.57,65,79,54885,51031,TRUE,"HighBurdenResolving"
"Rock","WI",NA,68.9,62.6112027480948,15.38,9.15,67,38,163354,55105,TRUE,"ModerateBurden"
"Yolo","CA",NA,69.9,66.1065243048884,6.06,2.99,71,85,220500,6113,TRUE,"ModerateBurden"
"Kern","CA",NA,53.4,49.8017657346424,8.21,4.04,71,77,900202,6029,TRUE,"ModerateBurden"
"Shelby","TN",NA,55.2,50.4049299209113,11.74,7.18,64,79,937166,47157,TRUE,"ModerateBurden"
"Niagara","NY",NA,66.2,60.9194075945592,7.21,5.01,70,74,209281,36063,TRUE,"ModerateBurden"
"Catawba","NC",NA,54.7,47.4115686396971,13.19,10.13,78,72,159551,37035,TRUE,"EmergingHotspot"
"Kalamazoo","MI",NA,61.2,55.5193757495255,9.52,5.83,73,78,265066,26077,TRUE,"ModerateBurden"
"Alexandria city","VA",NA,62.8,60.6260609042214,4.35,2.88,65,69,159428,51510,TRUE,"ModerateBurden"
"Washington","MN",NA,70.2,65.9513637277558,6.35,3.42,69,79,262440,27163,TRUE,"ModerateBurden"
"Northampton","PA",NA,67.7,61.8309506971928,9.77,6.34,76,82,305285,42095,TRUE,"ModerateBurden"
